Dataset,FeatureSelection,PruneMethod,Number,Accuracy,Area,Power,bitwidth,sparsity_rate
wesad,jmi,l2,10,90.0,6.79377,37.1,8,0.9
wesad,jmi,l2,10,88.0,6.24158,34.1,8,0.2
wesad,jmi,l2,10,88.0,6.55933,35.7,8,0.5
wesad,jmi,l2,10,89.0,6.89858,37.6,8,0.9
wesad,jmi,l2,10,75.0,3.45877,18.9,8,0.2
wesad,jmi,l2,10,68.0,3.35932,18.3,8,0.5
wesad,jmi,l2,10,71.0,3.13864,17.1,8,0.9
wesad,jmi,wanda,10,79.0,5.09313,27.8,8,0.2
wesad,jmi,wanda,10,76.0,3.3786,18.5,8,0.5
wesad,jmi,wanda,10,79.0,3.44114,18.8,8,0.9
wesad,jmi,wanda,10,85.0,6.21393,33.8,8,0.2
wesad,jmi,wanda,10,82.0,6.02338,32.9,8,0.5
wesad,jmi,wanda,10,80.0,6.20069,33.9,8,0.9
wesad,jmi,wanda,10,88.0,6.6664,36.4,8,0.2
wesad,jmi,wanda,10,84.0,5.6529,30.8,8,0.5
wesad,jmi,wanda,10,83.0,6.29724,34.2,8,0.9
wesad,jmi,wanda,10,85.0,6.08108,33.2,8,0.2
wesad,jmi,wanda,10,90.0,6.29786,34.4,8,0.5
wesad,jmi,wanda,10,87.0,6.58658,35.8,8,0.9
wesad,jmi,wanda,10,85.0,6.59821,36.0,8,0.2
wesad,jmi,wanda,10,88.0,6.425,35.0,8,0.5
wesad,jmi,wanda,10,88.0,5.85691,31.9,8,0.9
wesad,jmi,wanda,10,69.0,3.90438,21.3,8,0.2
wesad,jmi,wanda,10,74.0,4.03097,22.0,8,0.5
wesad,jmi,wanda,10,68.0,3.86408,21.1,8,0.9
